source,stored_as,sha256,size,action,duplicate_of
/Users/thom/Downloads/chaoslab-double-pendulum-chatgptpro-lite-under25mb.zip,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum-chatgptpro-lite-under25mb.zip,de44b1c6d250ab3565434f25a095256cc8972388235c81840529c8fc1393bf73,7123048,copied,
/Users/thom/Downloads/chaoslab-double-pendulum-chatgptpro.zip,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum-chatgptpro.zip,7f6af23a5ad33e6548609929683bec617073994c907bc096d65a5dfc77257f3c,43110025,copied,
/Users/thom/Downloads/chaoslab-double-pendulum-final-presentation.zip,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum-final-presentation.zip,aa065a5a26b38f23c62d1ffb1c4465749870190da212fa32c1c978b248b99d27,7127861,copied,
/Users/thom/Downloads/chaoslab-double-pendulum-final-v2-lite.zip,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum-final-v2-lite.zip,e273100ba3d708900534b0adee2e003b8208eb84c3118fef5959d508dbcc5164,10801018,copied,
/Users/thom/Downloads/chaoslab-double-pendulum-final-v2-lite(1).zip,,e273100ba3d708900534b0adee2e003b8208eb84c3118fef5959d508dbcc5164,10801018,duplicate_skipped,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum-final-v2-lite.zip
/Users/thom/Downloads/chaoslab-double-pendulum-improved.zip,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum-improved.zip,f0cab2457d8f0f9c4c87e9ca1b2c9bf6a6edbafa2120d45408d1fd8ddc4f55a8,7132005,copied,
/Users/thom/Downloads/chaoslab-double-pendulum-improved(1).zip,,f0cab2457d8f0f9c4c87e9ca1b2c9bf6a6edbafa2120d45408d1fd8ddc4f55a8,7132005,duplicate_skipped,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum-improved.zip
/Users/thom/Downloads/chaoslab-double-pendulum-modified.zip,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum-modified.zip,0b7edd54dceb1a15580bf3236c0b96a2fc086f2ba851005b39ba48010c0c87a3,7118346,copied,
/Users/thom/Downloads/chaoslab-double-pendulum.zip,archive/final-delivery-artifacts/source-files/chaoslab-double-pendulum.zip,98574b2f3fcf22002f9f05cba17ba20f0b189b3b8ad2b6086ef6f6ca39cb352b,3597527,copied,
/Users/thom/Downloads/chaoslab-final-v2-changed-files.zip,archive/final-delivery-artifacts/source-files/chaoslab-final-v2-changed-files.zip,16bb8ef9f2d323f048c1a336ccf8a5613ee52c2cfe838aee74dc472b5937cb58,4552052,copied,
/Users/thom/Downloads/chaoslab-final-v2-text.patch,archive/final-delivery-artifacts/source-files/chaoslab-final-v2-text.patch,85df3bae103384113c9b9584b6c21da65e3a5ff68128aed1015d6d8632b45a1f,53798,copied,
/Users/thom/Downloads/chaoslab-presentation-final-changed-files.zip,archive/final-delivery-artifacts/source-files/chaoslab-presentation-final-changed-files.zip,0913fa489e3c16ea1190610706435d339ca6fd3a79a0dc3037249140d513dc8e,581077,copied,
/Users/thom/Downloads/chaoslab-presentation-improvements.patch,archive/final-delivery-artifacts/source-files/chaoslab-presentation-improvements.patch,7dfb87ac2de4ee9a242775868137bb46621f2faa81da24c9e706190594d9d987,24433,copied,
/Users/thom/Downloads/chaoslab-presentation-improvements(1).patch,,7dfb87ac2de4ee9a242775868137bb46621f2faa81da24c9e706190594d9d987,24433,duplicate_skipped,archive/final-delivery-artifacts/source-files/chaoslab-presentation-improvements.patch
/Users/thom/Downloads/chaoslab-presentation-improvements.zip,archive/final-delivery-artifacts/source-files/chaoslab-presentation-improvements.zip,7f6c2bc4d7f8e2d0a3a937b0a3479254a18cdc0bba10030184fdae2b24e934a3,12582,copied,
/Users/thom/Downloads/chaoslab-presentation-improvements(1).zip,,7f6c2bc4d7f8e2d0a3a937b0a3479254a18cdc0bba10030184fdae2b24e934a3,12582,duplicate_skipped,archive/final-delivery-artifacts/source-files/chaoslab-presentation-improvements.zip
/Users/thom/Downloads/chaoslab_guion_5_min_final.md,archive/final-delivery-artifacts/source-files/chaoslab_guion_5_min_final.md,5fc6e5654251700dace4d58a357ffdaf1715c1fe1eeacccad80d26fc52d6d25d,4943,copied,
/Users/thom/Downloads/chaoslab_presentation_director_notes.md,archive/final-delivery-artifacts/source-files/chaoslab_presentation_director_notes.md,bb0988bc24e3bedafb057f7fb2eeab8e2697abb0c0b4d82ad290022501a9a3cd,2882,copied,
/Users/thom/Downloads/chaoslab_presentation_final_clean.patch,archive/final-delivery-artifacts/source-files/chaoslab_presentation_final_clean.patch,7b4a5a9f2c8ebb18d0dad1a707349b4b5ba05402da2f921c1ac0814137620641,36523,copied,
/Users/thom/Downloads/guion_5_min.md,archive/final-delivery-artifacts/source-files/guion_5_min.md,7466a266aef4a718a4f7a3c4821d7fb54ac0c486a8d8ad12c1b09c26dacfd4bd,5377,copied,
/Users/thom/Downloads/index.html,archive/final-delivery-artifacts/source-files/index.html,185fdf88e8df5a1c0a6e3fce69a82ab8a4ea9cd88e7df1cfa6081a1e408acb47,8843,copied,
/Users/thom/Downloads/informe_final.pdf,archive/final-delivery-artifacts/source-files/informe_final.pdf,21018a3ecf7264c81153b64842d58d2f826c0074e980f4b84d702c2b93f7a9a5,1104913,copied,
/Users/thom/Downloads/presentacion_final.pdf,archive/final-delivery-artifacts/source-files/presentacion_final.pdf,e9ca8db5b4cfee72ff7dd5fd2777a654f30dbd4963399ae47a7dba37b9c2afec,1184562,copied,
